"periodo_codigo";"periodo";"sexo";"variavel";"taxa_desocupacao"
"201803";"3º trimestre 2018";"Homens";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"10,4"
"201803";"3º trimestre 2018";"Mulheres";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"14,0"
"201803";"3º trimestre 2018";"Total";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"12,0"
"201804";"4º trimestre 2018";"Homens";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"10,0"
"201804";"4º trimestre 2018";"Mulheres";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"13,8"
"201804";"4º trimestre 2018";"Total";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"11,7"
"201901";"1º trimestre 2019";"Homens";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"10,9"
"201901";"1º trimestre 2019";"Mulheres";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"15,3"
"201901";"1º trimestre 2019";"Total";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"12,8"
"201902";"2º trimestre 2019";"Homens";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"10,3"
"201902";"2º trimestre 2019";"Mulheres";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"14,5"
"201902";"2º trimestre 2019";"Total";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"12,1"
"201903";"3º trimestre 2019";"Homens";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"10,0"
"201903";"3º trimestre 2019";"Mulheres";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"14,3"
"201903";"3º trimestre 2019";"Total";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"11,9"
"201904";"4º trimestre 2019";"Homens";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"9,2"
"201904";"4º trimestre 2019";"Mulheres";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"13,4"
