"periodo_codigo";"periodo";"variavel";"taxa_desocupacao"
"202006";"abr-mai-jun 2020";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"13,6"
"202007";"mai-jun-jul 2020";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"14,1"
"202008";"jun-jul-ago 2020";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"14,8"
"202009";"jul-ago-set 2020";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"14,9"
"202010";"ago-set-out 2020";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"14,6"
"202011";"set-out-nov 2020";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"14,3"
"202012";"out-nov-dez 2020";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"14,2"
"202101";"nov-dez-jan 2021";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"14,4"
"202102";"dez-jan-fev 2021";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"14,6"
"202103";"jan-fev-mar 2021";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"14,9"
"202104";"fev-mar-abr 2021";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"14,8"
"202105";"mar-abr-mai 2021";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"14,7"
"202106";"abr-mai-jun 2021";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"14,2"
"202107";"mai-jun-jul 2021";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"13,7"
"202108";"jun-jul-ago 2021";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"13,2"
"202109";"jul-ago-set 2021";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"12,7"
"202110";"ago-set-out 2021";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"12,1"
"202111";"set-out-nov 2021";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"11,6"
"202112";"out-nov-dez 2021";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"11,1"
"202201";"nov-dez-jan 2022";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"11,2"
"202202";"dez-jan-fev 2022";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"11,2"
"202203";"jan-fev-mar 2022";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"11,1"
"202204";"fev-mar-abr 2022";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"10,5"
"202205";"mar-abr-mai 2022";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"9,8"
"202206";"abr-mai-jun 2022";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"9,3"
"202207";"mai-jun-jul 2022";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"9,1"
"202208";"jun-jul-ago 2022";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"8,9"
"202209";"jul-ago-set 2022";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"8,7"
"202210";"ago-set-out 2022";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"8,3"
"202211";"set-out-nov 2022";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"8,1"
"202212";"out-nov-dez 2022";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,9"
"202301";"nov-dez-jan 2023";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"8,4"
"202302";"dez-jan-fev 2023";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"8,6"
"202303";"jan-fev-mar 2023";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"8,8"
"202304";"fev-mar-abr 2023";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"8,5"
"202305";"mar-abr-mai 2023";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"8,3"
"202306";"abr-mai-jun 2023";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"8,0"
"202307";"mai-jun-jul 2023";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,9"
"202308";"jun-jul-ago 2023";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,8"
"202309";"jul-ago-set 2023";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,7"
"202310";"ago-set-out 2023";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,6"
"202311";"set-out-nov 2023";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,5"
"202312";"out-nov-dez 2023";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,4"
"202401";"nov-dez-jan 2024";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,6"
"202402";"dez-jan-fev 2024";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,8"
"202403";"jan-fev-mar 2024";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,9"
"202404";"fev-mar-abr 2024";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,5"
"202405";"mar-abr-mai 2024";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,1"
"202406";"abr-mai-jun 2024";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,9"
"202407";"mai-jun-jul 2024";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,8"
"202408";"jun-jul-ago 2024";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,6"
"202409";"jul-ago-set 2024";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,4"
"202410";"ago-set-out 2024";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,2"
"202411";"set-out-nov 2024";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,1"
"202412";"out-nov-dez 2024";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,2"
"202501";"nov-dez-jan 2025";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,5"
"202502";"dez-jan-fev 2025";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,8"
"202503";"jan-fev-mar 2025";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,0"
"202504";"fev-mar-abr 2025";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,6"
"202505";"mar-abr-mai 2025";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,2"
"202506";"abr-mai-jun 2025";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"5,8"
"202507";"mai-jun-jul 2025";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"5,6"
"202508";"jun-jul-ago 2025";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"5,6"
"202509";"jul-ago-set 2025";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"5,6"
"202510";"ago-set-out 2025";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"5,4"
"202511";"set-out-nov 2025";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"5,2"
"202512";"out-nov-dez 2025";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"5,1"
"202601";"nov-dez-jan 2026";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"5,4"
"202602";"dez-jan-fev 2026";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"5,8"
