fator,nivel,dezena,p_media,p_hdi95_inf,p_hdi95_sup,ocorr_esperadas_100_concursos_media,delta_100_media,delta_100_hdi95_inf,delta_100_hdi95_sup,prob_delta_100_maior_0,prob_abs_delta_100_gt_1,prob_abs_delta_100_gt_2,prob_abs_delta_100_gt_3,razao_media,razao_hdi95_inf,razao_hdi95_sup,contagem_observada,n_slots_nivel,abs_delta_100_media
decada_historica,1996-1999,25,0.020476484640586295,0.013097341042604856,0.02888790968639804,12.285890784351777,2.4822541043303294,-2.224800243578994,7.556208438808259,0.8424,0.7816,0.5848,0.3992,1.2573618440631484,0.7686825340561778,1.7718546399115782,25,1200,2.4822541043303294
decada_historica,1996-1999,17,0.02150965398677982,0.014432117952437132,0.030508907138720273,12.905792392067893,2.3229416404019876,-2.3277622858552482,7.4121520840964585,0.8148,0.764,0.562,0.382,1.2231048905224795,0.7844763639313023,1.7115496199222975,26,1200,2.3229416404019876
decada_historica,1996-1999,8,0.012670167166199972,0.006895743897537935,0.018829978747287007,7.602100299719983,-2.262876623207264,-5.919475005684131,1.6359845574894312,0.1316,0.8132,0.6136,0.3764,0.7731534307956552,0.430194681705302,1.1767544248851376,15,1200,2.262876623207264
decada_historica,1996-1999,10,0.015844703850671327,0.00938478556009082,0.022893743802772336,9.506822310402796,-2.2193150879664425,-6.353038538341542,2.0749951867401077,0.1512,0.8148,0.6112,0.3972,0.8131279345654155,0.47126435879614664,1.1727793219841622,19,1200,2.2193150879664425
dia_semana,sexta,50,0.03546101291112494,0.011142986771645812,0.0643269787627089,21.276607746674962,11.418989521900382,-3.334739156131692,28.772261929298182,0.9392,0.9516,0.8956,0.8532,2.1648061654569664,0.7154810012477775,3.9542523384848356,5,108,11.418989521900382
dia_semana,sexta,34,0.03566272137289175,0.013515190049124107,0.06399552849097918,21.397632823735048,10.731074197745171,-2.707703422760034,27.733372103742116,0.9248,0.9464,0.8868,0.8332,2.012573062154195,0.6177921397636796,3.5395341844264885,5,108,10.731074197745171
dia_semana,sexta,15,0.0296045470470527,0.008365845040434158,0.055390772770157,17.76272822823162,8.682859694701351,-4.083139237114927,24.032838760298006,0.8912,0.9304,0.8616,0.7916,1.9633643534531344,0.5457906209086928,3.7103284421216793,4,108,8.682859694701351
dia_semana,sexta,2,0.030105632719996594,0.007898969563570847,0.0560393363135033,18.063379631997957,8.187030976938544,-4.837695441775477,24.23592764671623,0.8688,0.9084,0.8312,0.7516,1.8356627071108131,0.5012643614029183,3.442603629184684,4,108,8.187030976938544
dia_semana,segunda,33,0.031028528810300396,0.010404362038022247,0.050561865601011696,18.61711728618024,7.979851756262759,-4.291133699810474,19.83482696524364,0.9056,0.9268,0.8532,0.782,1.7556353700427942,0.5888399104528365,2.883634688685288,7,198,7.979851756262759
dia_semana,sexta,16,0.029994914115615393,0.007736989249720096,0.05558385512877008,17.996948469369237,7.772052492983546,-5.592073938602772,23.434816214129487,0.8556,0.9076,0.8332,0.7448,1.7661846686843572,0.45668241915922836,3.272107318383606,4,108,7.772052492983546
dia_semana,sexta,13,0.029958228234502712,0.00793119329262814,0.055839387575716104,17.974936940701628,7.67281716070681,-4.884190767496629,24.070619114500083,0.8416,0.9032,0.82,0.7392,1.7487292746314862,0.35645831057810884,3.1823659541080507,4,108,7.67281716070681
dia_semana,sexta,27,0.02992383019586416,0.007537044883561451,0.055949716125077244,17.954298117518498,7.237310249422191,-6.312389693436486,22.842768252835175,0.8268,0.9052,0.8112,0.7284,1.681409902205622,0.41936852995931667,3.1851657314804807,4,108,7.237310249422191
dia_semana,sexta,33,0.029729411240178253,0.007403299585628873,0.053620896213620886,17.83764674410695,7.200381214189472,-6.084889378981488,21.723306011632477,0.8352,0.91,0.8084,0.7128,1.681733117981746,0.43272380727662874,3.0934276908602234,4,108,7.200381214189472
dia_semana,sexta,42,0.005897487325548725,3.645491831293339e-07,0.01719472764952077,3.538492395329235,-7.064501839549991,-11.516544648239687,0.006762830921286378,0.0468,0.9704,0.9328,0.8956,0.3348204556917172,1.9928829915570527e-05,0.9772264941476986,0,108,7.064501839549991
dia_semana,sexta,56,0.005787992726725473,1.0134382491242536e-06,0.018276627527284175,3.4727956360352836,-7.002056614300197,-11.227733230259062,0.955269723814247,0.0576,0.9708,0.9408,0.9024,0.33314083716767384,6.404789831638129e-05,1.058203070798402,0,108,7.002056614300197
dia_semana,sexta,41,0.005830168544364576,6.765630660042423e-07,0.0177411012855747,3.498101126618746,-6.826138504720317,-11.212362957405475,0.725812196150176,0.0544,0.9752,0.9396,0.9016,0.3398423527713578,3.87912760133788e-05,1.0401914635047607,0,108,6.826138504720317
faixa_temporal,2025-2026,15,0.026612308697530403,0.018236890522288222,0.03583313089278734,15.967385218518242,6.887516684987972,1.6389228740370756,12.475081061981133,0.9972,0.9908,0.9692,0.9216,1.7651483315464735,1.134406639006396,2.3851838152407643,32,1182,6.887516684987972
faixa_temporal,1996-1999,30,0.011040493380024276,0.006084192979282188,0.016989971946841872,6.624296028014566,-3.873353051637522,-7.206935417396835,-0.14920650022942836,0.028,0.9424,0.8524,0.7052,0.6330610996522844,0.3233527595061767,0.9679694394002804,13,1200,3.873353051637522
faixa_temporal,1996-1999,43,0.023862074919401226,0.015839251239465457,0.032370315523164175,14.317244951640735,3.825279581198586,-1.0568391345080759,9.341013545983328,0.9356,0.896,0.7564,0.6072,1.368997891954732,0.8528065886790203,1.8667417610775514,29,1200,3.825279581198586
faixa_temporal,2025-2026,27,0.024127016270106515,0.01599037112154757,0.03224399701835843,14.47620976206391,3.7592218939676036,-1.3746641351618343,8.688911382160422,0.9292,0.8892,0.7572,0.608,1.355385991167348,0.8800300763538151,1.8291142736416959,29,1182,3.7592218939676036
faixa_temporal,2025-2026,33,0.012145060916389243,0.006786939059596399,0.018697345080734954,7.287036549833546,-3.3502289800839296,-7.185132898683814,0.36544903850931687,0.0572,0.904,0.7696,0.6032,0.6874216718059086,0.34907776800613083,1.0364919609287104,14,1182,3.3502289800839296
faixa_temporal,2000-2004,9,0.010713006516085238,0.00708200154305572,0.015052965366686741,6.427803909651143,-3.2245864037997154,-5.776519149796617,-0.5521370510221439,0.0136,0.9472,0.8316,0.5816,0.6682986897919619,0.43633061365548814,0.9433251225321351,27,2562,3.2245864037997154
faixa_temporal,1996-1999,51,0.022161781302993473,0.014680897733122828,0.03105435282453825,13.297068781796083,3.193443856208406,-1.7476924976024175,8.245846553920746,0.8988,0.8328,0.6756,0.5048,1.320555986433523,0.8372718274866505,1.8393258072900214,27,1200,3.193443856208406
faixa_temporal,2010-2014,2,0.02177682791318871,0.016761649684448335,0.026877484824146123,13.066096747913226,3.189748092853817,0.11313303040334025,6.603989685947241,0.9744,0.9168,0.7612,0.5368,1.3274236862444193,0.9646353324028067,1.6506883000011945,69,3150,3.189748092853817
