fator,papel,nivel,dezena,delta100_media_aprox,p_media,p_base_media,abs_delta100_media_aprox
faixa_temporal,principal,2020-2024,54,-0.09221527859999967,0.017072479054,0.017226171185,0.09221527859999967
faixa_temporal,principal,2015-2019,10,0.09022610609999981,0.01962481380725,0.01947443696375,0.09022610609999981
faixa_temporal,principal,2005-2009,38,-0.08987436405000077,0.01766362156125,0.017813412168,0.08987436405000077
faixa_temporal,principal,2000-2004,9,-0.08543203769999994,0.01595809788,0.0161004846095,0.08543203769999994
faixa_temporal,principal,2020-2024,25,0.08308590990000059,0.016493289203,0.0163548126865,0.08308590990000059
faixa_temporal_metade_concursos,sensibilidade,segunda_metade,46,0.26079401805,0.01796566077175,0.017531004075,0.26079401805
faixa_temporal_metade_concursos,sensibilidade,primeira_metade,46,-0.24401559104999873,0.01712431142325,0.017531004075,0.24401559104999873
faixa_temporal_metade_concursos,sensibilidade,segunda_metade,10,0.22412259449999944,0.01984607771475,0.01947254005725,0.22412259449999944
faixa_temporal_metade_concursos,sensibilidade,primeira_metade,10,-0.20168264385000065,0.0191364023175,0.01947254005725,0.20168264385000065
faixa_temporal_metade_concursos,sensibilidade,primeira_metade,5,0.18210270615000093,0.0182732465065,0.01796974199625,0.18210270615000093
faixa_temporal_metade_concursos,sensibilidade,segunda_metade,35,0.18050013659999808,0.017744042808,0.017443209247,0.18050013659999808
faixa_temporal_metade_concursos,sensibilidade,primeira_metade,35,-0.17859501540000156,0.017145550888,0.017443209247,0.17859501540000156
faixa_temporal_metade_concursos,sensibilidade,segunda_metade,38,0.1744689769500006,0.0180999278195,0.01780914619125,0.1744689769500006
faixa_temporal_metade_concursos,sensibilidade,segunda_metade,5,-0.1676259070500008,0.0176903654845,0.01796974199625,0.1676259070500008
faixa_temporal_metade_concursos,sensibilidade,segunda_metade,12,-0.16722312074999995,0.0152862200905,0.01556492529175,0.16722312074999995
faixa_temporal_tercil_concursos,sensibilidade,inicial,10,-0.2750533753499991,0.01901518002775,0.01947360232,0.2750533753499991
faixa_temporal_tercil_concursos,sensibilidade,recente,46,0.2318011852499996,0.01793847487675,0.017552139568,0.2318011852499996
faixa_temporal_tercil_concursos,sensibilidade,intermediária,2,0.2127103559999996,0.0168105808655,0.0164560636055,0.2127103559999996
faixa_temporal_tercil_concursos,sensibilidade,intermediária,38,-0.2124383617500017,0.01745461768725,0.0178086816235,0.2124383617500017
faixa_temporal_tercil_concursos,sensibilidade,recente,38,0.19715690879999886,0.0181372764715,0.0178086816235,0.19715690879999886
faixa_temporal_tercil_concursos,sensibilidade,recente,11,0.1950284393999989,0.01766179922925,0.01733675183025,0.1950284393999989
faixa_temporal_tercil_concursos,sensibilidade,inicial,9,-0.19256889270000063,0.015763944145,0.0160848922995,0.19256889270000063
faixa_temporal_tercil_concursos,sensibilidade,intermediária,10,0.18879867090000196,0.0197882667715,0.01947360232,0.18879867090000196
faixa_temporal_tercil_concursos,sensibilidade,recente,24,-0.17398550234994162,0.0163216825865,0.0166116584237499,0.17398550234994162
faixa_temporal_tercil_concursos,sensibilidade,recente,5,-0.16762510499999939,0.017694940206,0.017974315381,0.16762510499999939
periodo_5_anos,sensibilidade,2011-2015,2,0.11044221795000059,0.01662044882425,0.016436378461,0.11044221795000059
periodo_5_anos,sensibilidade,2016-2020,51,-0.10705447109999877,0.0166598240125,0.016838248131,0.10705447109999877
periodo_5_anos,sensibilidade,2006-2010,13,-0.09624416534999916,0.01701201286525,0.0171724198075,0.09624416534999916
periodo_5_anos,sensibilidade,2006-2010,38,-0.09269239200000029,0.01765826607775,0.01781275339775,0.09269239200000029
periodo_5_anos,sensibilidade,2021-2025,25,0.09177262575000011,0.01649358486525,0.016340630489,0.09177262575000011
periodo_5_anos,sensibilidade,2021-2025,38,0.08275088594999966,0.017950671541,0.01781275339775,0.08275088594999966
periodo_5_anos,sensibilidade,2011-2015,51,0.08089533180000094,0.016973073684,0.016838248131,0.08089533180000094
periodo_5_anos,sensibilidade,2011-2015,25,-0.07904419004999969,0.01620889017225,0.016340630489,0.07904419004999969
periodo_5_anos,sensibilidade,2016-2020,31,-0.07803159764999956,0.015378558565,0.01550861122775,0.07803159764999956
periodo_5_anos,sensibilidade,2016-2020,11,0.07712992305000041,0.0174342843895,0.01730573451775,0.07712992305000041
periodo_analitico,principal,decada_2010_2019,41,-0.08531900070000015,0.01703814978475,0.01718034811925,0.08531900070000015
periodo_analitico,principal,decada_2010_2019,2,0.07839367950000023,0.01654990100625,0.01641924487375,0.07839367950000023
periodo_analitico,principal,consolidacao_2000_2009,46,-0.0782413539,0.017433086359,0.0175634886155,0.0782413539
periodo_analitico,principal,periodo_2020_2023,24,-0.07000753440000035,0.0164836474015,0.0166003266255,0.07000753440000035
periodo_analitico,principal,decada_2010_2019,10,0.06807450374999857,0.01960936729125,0.019495909785,0.06807450374999857
periodo_analitico,principal,consolidacao_2000_2009,10,-0.0657656857500008,0.01938630030875,0.019495909785,0.0657656857500008
periodo_analitico,principal,periodo_2024_2026,46,0.0626952736499993,0.01766798073825,0.0175634886155,0.0626952736499993
periodo_analitico,principal,consolidacao_2000_2009,35,-0.06098778555000059,0.0173384634755,0.01744010978475,0.06098778555000059
periodo_analitico,principal,decada_2010_2019,11,0.05970100245000151,0.017435523582,0.01733602191125,0.05970100245000151
periodo_analitico,principal,periodo_2020_2023,41,0.058659616199999154,0.01727811414625,0.01718034811925,0.058659616199999154
