fator,variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
ano,"z_delta[20,48]",0.04129384312807025,0.0473673695,0.9695846590439811,0.962458507962,-1.55213142,1.612349544999999,1.00141129071552,8615.369119864927,3009.2840157493906
ano,"z_delta[21,48]",0.046520964082331,0.0538769685,0.9610945021018308,0.9734832127419001,-1.552784975,1.642013005,1.0024406422347085,8849.997832480482,2533.108147329559
ano,"z_delta[22,48]",0.051404844871689746,0.042397484,0.9789282582899633,0.9865732801385999,-1.543929915,1.7024133700000001,0.9996410725832562,7172.16345107467,2846.6190146895924
ano,"z_delta[23,48]",-0.0553622053155975,-0.0701958555,0.9768215280207325,0.9856392184169999,-1.67136676,1.5493007449999998,1.0037463111473726,8422.359410906673,2338.0514024989357
ano,"z_delta[24,48]",-0.039485387247481,-0.037318324,0.9860437518141241,1.000543588653,-1.6655975749999998,1.5762082899999994,1.0008539252145012,5992.845143677632,3153.386950055614
ano,"z_delta[25,48]",-0.0331826874634825,-0.0358905915,0.9825039978150901,0.9976380336509999,-1.6565840299999999,1.5812711949999962,1.0006583813984622,7264.336340204145,2884.567133183713
ano,"z_delta[26,48]",0.11422159397935751,0.11505225499999999,0.9728072070436752,0.9487451325449999,-1.486154275,1.7388104649999998,1.0004376851624532,6029.294205418805,2916.784012865879
ano,"z_delta[27,48]",-0.02263300590695625,-0.033722403,1.023317148930854,1.0313129012172,-1.6932825249999999,1.6080940999999997,1.0018929074751237,7039.532844125479,2758.5219104127355
ano,"z_delta[28,48]",0.030582104195745,0.027147408499999998,1.0210620565255963,1.0215511803819,-1.63969074,1.6773314149999996,1.0016597889831007,9192.437950385518,3112.7025522896447
ano,"z_delta[29,48]",0.010429113220313,0.015927042500000002,1.0030499007549925,0.9952616890125,-1.61363365,1.6504264049999993,1.0000406618779558,6347.207489428994,2602.7765879176704
ano,"z_delta[30,48]",0.046121153891445,0.041063537,0.9872230974188503,1.004760584898,-1.5781376549999997,1.6806194599999993,0.9998228834231513,6794.34804567315,2588.865827249331
ano,"z_delta[31,48]",-0.0597793376005575,-0.075130315,1.0070665631911033,1.0337969500739999,-1.70818029,1.6238939249999997,1.0029830853293116,8031.94633265128,2984.185411192411
ano,"z_delta[1,49]",-0.01791804361963875,-0.010477183000000001,0.9913120897738038,0.9738726925032,-1.67958127,1.60609341,1.0003946871025178,5939.259653418307,2695.4838816949987
ano,"z_delta[2,49]",-0.03239939891542,-0.032670353,0.9650853285311924,0.9657252317369999,-1.62023991,1.5626896099999996,1.0012956522677652,7355.530472193487,3214.6902437578233
ano,"z_delta[3,49]",-0.0204590277393725,-0.012207689,0.9621363987425879,0.9795058578899999,-1.60402281,1.5547824149999994,1.0002160978701982,7232.402031360026,3088.5508375068257
ano,"z_delta[4,49]",-0.040417272687595,-0.0426408345,0.9621172455262419,0.9625237497749999,-1.62105109,1.5247747399999998,0.9996405836794798,7298.895027351067,2989.71039133884
ano,"z_delta[5,49]",0.0300510263773325,0.0475851765,0.9557618669098409,0.9454169275719,-1.57006758,1.5903425949999999,1.0005780605962193,7040.048648478585,2475.9743005180976
ano,"z_delta[6,49]",-0.07726570012519,-0.0776221095,0.9851900212219666,0.977040901956,-1.6794830049999998,1.594589939999999,1.0018354431655943,7427.2871519347045,2540.801648726844
ano,"z_delta[7,49]",0.005739054672562502,-0.00174189505,0.9970350010738654,1.01249779979187,-1.642455805,1.640878275,1.0020170840041747,9031.28380035382,3113.64580713876
ano,"z_delta[8,49]",0.048240821177955,0.041971286999999996,0.9811550666035157,1.0047410931558,-1.5510268599999997,1.6464124499999995,1.0010453779194521,6880.013760083079,2891.823742088913
ano,"z_delta[9,49]",0.27199753037165,0.27638510000000005,1.013283155909499,1.047946706562,-1.40796664,1.8932098849999994,1.0009745029325132,5863.867637600576,2904.703125541949
ano,"z_delta[10,49]",0.00666052188257375,0.0049342729999999994,0.9781158706217302,0.982206473094,-1.607703485,1.65438401,1.0005304972774638,8293.310242220921,3005.5430703283796
ano,"z_delta[11,49]",-0.11080767857678,-0.113782615,0.9658713512954996,0.9701302735529999,-1.658489065,1.443756995,1.0008751915521417,6604.233925961573,2932.2330150076737
ano,"z_delta[12,49]",0.0652485623007975,0.06710384850000001,1.0223734819935828,0.9948209995058999,-1.6367984,1.7844934899999998,1.000466645718427,6003.2206502882245,2474.396423403644
ano,"z_delta[13,49]",-0.00129027131716,0.00758201915,1.0058763875120047,1.006098868614,-1.627842455,1.641113199999999,1.0006237615568128,6679.880789516943,2846.052412117735
ano,"z_delta[14,49]",0.101979230459654,0.11145311499999999,0.967123773223631,0.9722645948609998,-1.488141315,1.6781456899999998,1.0021749321587887,6554.121183768511,2982.8385585838196
ano,"z_delta[15,49]",0.1135356314330335,0.10288365499999999,1.0069518985104031,0.998325552336,-1.5509053099999999,1.7927293599999992,0.9995076493997787,7151.729183045095,2797.379642426023
ano,"z_delta[16,49]",-0.14791692671823,-0.181188375,0.9755412125511566,0.975397158162,-1.69127966,1.4624798899999991,0.9998115841573031,7433.011071946396,2925.5569928714162
ano,"z_delta[17,49]",0.0026920157712200005,-0.0057732923500000005,1.0014964725305093,1.007130461694,-1.6193030449999999,1.6474776949999996,1.0020227636388244,6624.4451419495335,2900.1223588173707
ano,"z_delta[18,49]",0.005459061282612501,0.021371355,1.004369127311262,1.004861772348,-1.6382347999999998,1.6520164899999998,1.0012078624076712,6575.8775088556395,2970.3743791801226
ano,"z_delta[19,49]",0.046919033919085,0.0416663645,0.9959477070690042,0.9826689034469999,-1.60263934,1.7408422799999999,1.002012968791752,7614.429897193492,2846.4643130936333
ano,"z_delta[20,49]",-0.056555734567095,-0.0488960265,1.0078444497160703,1.0133247222399,-1.73868307,1.6128070899999991,1.0002800641649692,7821.784006760882,2603.028720359349
ano,"z_delta[21,49]",-0.091568592641565,-0.080305847,0.9492773914532364,0.9590612412569999,-1.67812958,1.4541836699999993,1.0006244376894673,7158.972040628938,2994.354485343393
ano,"z_delta[22,49]",-0.2263597804812375,-0.22840059000000001,0.9847192496425635,1.00292530401,-1.855664585,1.3947100849999974,1.0011603683946912,5913.116493623785,3120.3947967599615
ano,"z_delta[23,49]",-0.0610139937660225,-0.0770916865,0.9746987299252866,0.9792321973581,-1.670507655,1.546321969999999,1.0004737979966982,8002.964396861261,3076.741253333798
ano,"z_delta[24,49]",0.051532724548962495,0.0707863845,1.009066249881738,1.018281229728,-1.60864228,1.6976490799999986,1.003108837344002,7178.847378566227,2752.8968920345073
ano,"z_delta[25,49]",0.0420024292636395,0.0454256675,0.9819064391231461,0.984825752862,-1.5766875050000002,1.6645584799999995,1.0003455572013855,7464.185240048427,2721.9751217790317
ano,"z_delta[26,49]",0.07765470841342426,0.076597733,1.0022536200071022,0.9809840278811999,-1.5434253199999999,1.7510810799999994,1.0009585381604666,7099.662151415471,2622.712873640304
ano,"z_delta[27,49]",0.079570514200695,0.0855622335,0.9814183528467822,0.977409698706,-1.5215463299999996,1.6848929749999997,1.0013825088725812,7265.443532239749,2654.7062485697943
ano,"z_delta[28,49]",-0.00716296601309525,-0.009622631449999999,1.0033573710303147,1.028562171168,-1.64818698,1.6613914199999993,1.0008277125389677,6203.716053828546,3004.431654955447
ano,"z_delta[29,49]",-0.090567217114005,-0.09843746149999999,0.9850378032020942,0.973862407707,-1.73409726,1.5497702649999998,0.9997404895796257,7380.9560742325875,3060.253483284438
ano,"z_delta[30,49]",-0.0245229605978035,-0.0190052575,0.9590467397571321,0.9470520663554999,-1.614967605,1.5141740599999982,1.0030350581162784,6502.983031211521,2953.627578673751
ano,"z_delta[31,49]",0.0013662621227424998,-0.00786208665,1.0088539806350343,1.000933386432,-1.62081831,1.639011675,1.0013436655627657,8069.3021276829595,2726.9360650408717
ano,"z_delta[1,50]",-0.002163427745081249,-0.0067451798,1.0018181165165891,0.98330548711248,-1.6603084350000001,1.6511400649999997,1.0013900751298435,8977.377906986561,2529.7347079602596
ano,"z_delta[2,50]",-0.0309888429542575,-0.016884898500000002,1.0142678483317986,1.0023178509140998,-1.7346469300000003,1.641674849999998,1.0020871896763277,7994.003171504944,2885.903823406378
ano,"z_delta[3,50]",-0.027263892689655,-0.025878035,1.0132540140819464,1.0051226802959998,-1.70005217,1.6162484599999993,1.0014364155970252,5929.645928036509,2354.1683893731424
ano,"z_delta[4,50]",0.0274357333507175,0.019188161500000002,0.9966487444528906,0.9984923448359999,-1.582345885,1.68390238,1.0008571204790684,8110.903658496027,2730.891851202875
ano,"z_delta[5,50]",0.01433853865949,0.00906002775,1.0030992796320393,0.9930362178271499,-1.66529664,1.6579874899999996,1.00333532970509,7657.159810856251,2381.659933104564
ano,"z_delta[6,50]",0.0748107424103175,0.0638841395,0.9617304548437067,0.9502992020192998,-1.4829133049999998,1.6819391299999997,1.000214665777727,7345.663498509867,3017.4727100117843
ano,"z_delta[7,50]",-0.0971761331565475,-0.0979274755,0.9865344121039002,0.9717333859527001,-1.75535182,1.4879042049999982,1.0027340492699341,6755.271332012429,2926.8447288340776
ano,"z_delta[8,50]",0.062452115755874275,0.0629565815,1.0014567843210258,1.01859623775,-1.5822601299999999,1.7073493599999994,1.0024225030484883,7098.438934627675,2756.074444415242
ano,"z_delta[9,50]",0.013505496643510001,0.0156724825,0.9858589537614939,0.9864334880085001,-1.6356671550000002,1.618007185,1.0004874324601334,7112.214334407907,2697.238863510404
ano,"z_delta[10,50]",0.0169552479517305,0.03002958,1.013164292919997,1.0046987678909998,-1.64138512,1.6908510849999998,1.0026513635418828,7840.470903778989,2590.988946693491
ano,"z_delta[11,50]",0.24111979124401275,0.23551448,0.9635686404693691,0.988563394875,-1.303557345,1.809593499999999,1.0031548636626055,5447.124538111383,2639.06821447245
ano,"z_delta[12,50]",0.00610427087654,0.00700683555,0.9890588370422644,0.9740573613785699,-1.6236901099999999,1.6863381349999997,1.0019799146383968,5830.07670208546,3073.1877956127255
ano,"z_delta[13,50]",-0.13422855455861,-0.14717367,0.9622940690706098,0.9544559150069999,-1.6936313799999998,1.4760971,1.000623540801952,5335.821320749355,2577.1265602082303
